id_eleve,id_question,note,absence,sous_categorie,categorie,id_groupe
6536,0,1.0,0,Architecture en bus,Modélisation dimensionnelle,8
6536,1,1.0,0,Clefs,Modélisation dimensionnelle,8
6536,2,1.0,0,Clefs,Modélisation dimensionnelle,8
6536,3,1.0,0,Composants,Architecture,8
6536,4,1.0,0,Composants,Architecture,8
6536,5,1.0,0,Dimension conforme,Modélisation dimensionnelle,8
6536,6,1.0,0,Tableaux de bord,Tableaux de bord,8
6536,7,0.0,0,Dimension dégénérée,Modélisation dimensionnelle,8
6536,8,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
6536,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
6536,10,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
6536,11,1.0,0,Table de fait,Modélisation dimensionnelle,8
6536,12,0.0,0,Table de fait,Modélisation dimensionnelle,8
6536,13,1.0,0,Grain,Modélisation dimensionnelle,8
6536,14,1.0,0,Mise à jour,Architecture,8
6536,15,1.0,0,OLAP,Architecture,8
6536,16,0.0,0,OLTP,Architecture,8
6536,17,0.0,0,Redondance,Modélisation dimensionnelle,8
6536,18,0.0,0,Schéma,Modélisation dimensionnelle,8
6536,19,1.0,0,SCRUM,Gestion de projet,8
8389,0,0.0,0,Architecture en bus,Modélisation dimensionnelle,8
8389,1,0.0,0,Clefs,Modélisation dimensionnelle,8
8389,2,1.0,0,Clefs,Modélisation dimensionnelle,8
8389,3,1.0,0,Composants,Architecture,8
8389,4,1.0,0,Composants,Architecture,8
8389,5,1.0,0,Dimension conforme,Modélisation dimensionnelle,8
8389,6,1.0,0,Tableaux de bord,Tableaux de bord,8
8389,7,0.0,0,Dimension dégénérée,Modélisation dimensionnelle,8
8389,8,1.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
8389,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
8389,10,1.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
8389,11,1.0,0,Table de fait,Modélisation dimensionnelle,8
8389,12,0.0,0,Table de fait,Modélisation dimensionnelle,8
8389,13,0.0,0,Grain,Modélisation dimensionnelle,8
8389,14,0.0,0,Mise à jour,Architecture,8
8389,15,1.0,0,OLAP,Architecture,8
8389,16,1.0,0,OLTP,Architecture,8
8389,17,1.0,0,Redondance,Modélisation dimensionnelle,8
8389,18,0.0,0,Schéma,Modélisation dimensionnelle,8
8389,19,1.0,0,SCRUM,Gestion de projet,8
6507,0,0.0,0,Architecture en bus,Modélisation dimensionnelle,2
6507,1,1.0,0,Clefs,Modélisation dimensionnelle,2
6507,2,1.0,0,Clefs,Modélisation dimensionnelle,2
6507,3,1.0,0,Composants,Architecture,2
6507,4,0.0,0,Composants,Architecture,2
6507,5,1.0,0,Dimension conforme,Modélisation dimensionnelle,2
6507,6,0.0,0,Tableaux de bord,Tableaux de bord,2
6507,7,0.0,0,Dimension dégénérée,Modélisation dimensionnelle,2
6507,8,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,2
6507,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,2
6507,10,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,2
6507,11,1.0,0,Table de fait,Modélisation dimensionnelle,2
6507,12,0.0,0,Table de fait,Modélisation dimensionnelle,2
6507,13,0.0,0,Grain,Modélisation dimensionnelle,2
6507,14,1.0,0,Mise à jour,Architecture,2
6507,15,1.0,0,OLAP,Architecture,2
6507,16,1.0,0,OLTP,Architecture,2
6507,17,1.0,0,Redondance,Modélisation dimensionnelle,2
6507,18,1.0,0,Schéma,Modélisation dimensionnelle,2
6507,19,1.0,0,SCRUM,Gestion de projet,2
5961,0,1.0,0,Architecture en bus,Modélisation dimensionnelle,7
5961,1,1.0,0,Clefs,Modélisation dimensionnelle,7
5961,2,1.0,0,Clefs,Modélisation dimensionnelle,7
5961,3,1.0,0,Composants,Architecture,7
5961,4,1.0,0,Composants,Architecture,7
5961,5,0.0,0,Dimension conforme,Modélisation dimensionnelle,7
5961,6,1.0,0,Tableaux de bord,Tableaux de bord,7
5961,7,0.0,0,Dimension dégénérée,Modélisation dimensionnelle,7
5961,8,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,7
5961,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,7
5961,10,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,7
5961,11,1.0,0,Table de fait,Modélisation dimensionnelle,7
5961,12,0.0,0,Table de fait,Modélisation dimensionnelle,7
5961,13,0.0,0,Grain,Modélisation dimensionnelle,7
5961,14,0.0,0,Mise à jour,Architecture,7
5961,15,1.0,0,OLAP,Architecture,7
5961,16,1.0,0,OLTP,Architecture,7
5961,17,0.0,0,Redondance,Modélisation dimensionnelle,7
5961,18,0.0,0,Schéma,Modélisation dimensionnelle,7
5961,19,1.0,0,SCRUM,Gestion de projet,7
15671,0,1.0,0,Architecture en bus,Modélisation dimensionnelle,8
15671,1,0.0,0,Clefs,Modélisation dimensionnelle,8
15671,2,1.0,0,Clefs,Modélisation dimensionnelle,8
15671,3,1.0,0,Composants,Architecture,8
15671,4,1.0,0,Composants,Architecture,8
15671,5,0.0,0,Dimension conforme,Modélisation dimensionnelle,8
15671,6,1.0,0,Tableaux de bord,Tableaux de bord,8
15671,7,0.0,0,Dimension dégénérée,Modélisation dimensionnelle,8
15671,8,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
15671,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
15671,10,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
15671,11,1.0,0,Table de fait,Modélisation dimensionnelle,8
15671,12,0.0,0,Table de fait,Modélisation dimensionnelle,8
15671,13,0.0,0,Grain,Modélisation dimensionnelle,8
15671,14,0.0,0,Mise à jour,Architecture,8
15671,15,1.0,0,OLAP,Architecture,8
15671,16,1.0,0,OLTP,Architecture,8
15671,17,1.0,0,Redondance,Modélisation dimensionnelle,8
15671,18,0.0,0,Schéma,Modélisation dimensionnelle,8
15671,19,1.0,0,SCRUM,Gestion de projet,8
13164,0,1.0,0,Architecture en bus,Modélisation dimensionnelle,7
13164,1,1.0,0,Clefs,Modélisation dimensionnelle,7
13164,2,1.0,0,Clefs,Modélisation dimensionnelle,7
13164,3,1.0,0,Composants,Architecture,7
13164,4,1.0,0,Composants,Architecture,7
13164,5,0.0,0,Dimension conforme,Modélisation dimensionnelle,7
13164,6,1.0,0,Tableaux de bord,Tableaux de bord,7
13164,7,1.0,0,Dimension dégénérée,Modélisation dimensionnelle,7
13164,8,1.0,0,Évolution des dimensions,Modélisation dimensionnelle,7
13164,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,7
13164,10,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,7
13164,11,1.0,0,Table de fait,Modélisation dimensionnelle,7
13164,12,0.0,0,Table de fait,Modélisation dimensionnelle,7
13164,13,0.0,0,Grain,Modélisation dimensionnelle,7
13164,14,0.0,0,Mise à jour,Architecture,7
13164,15,1.0,0,OLAP,Architecture,7
13164,16,1.0,0,OLTP,Architecture,7
13164,17,1.0,0,Redondance,Modélisation dimensionnelle,7
13164,18,0.0,0,Schéma,Modélisation dimensionnelle,7
13164,19,1.0,0,SCRUM,Gestion de projet,7
15806,0,0.0,0,Architecture en bus,Modélisation dimensionnelle,8
15806,1,1.0,0,Clefs,Modélisation dimensionnelle,8
15806,2,1.0,0,Clefs,Modélisation dimensionnelle,8
15806,3,1.0,0,Composants,Architecture,8
15806,4,1.0,0,Composants,Architecture,8
15806,5,1.0,0,Dimension conforme,Modélisation dimensionnelle,8
15806,6,1.0,0,Tableaux de bord,Tableaux de bord,8
15806,7,1.0,0,Dimension dégénérée,Modélisation dimensionnelle,8
15806,8,1.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
15806,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
15806,10,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
15806,11,0.0,0,Table de fait,Modélisation dimensionnelle,8
15806,12,1.0,0,Table de fait,Modélisation dimensionnelle,8
15806,13,0.0,0,Grain,Modélisation dimensionnelle,8
15806,14,1.0,0,Mise à jour,Architecture,8
15806,15,1.0,0,OLAP,Architecture,8
15806,16,0.0,0,OLTP,Architecture,8
15806,17,1.0,0,Redondance,Modélisation dimensionnelle,8
15806,18,1.0,0,Schéma,Modélisation dimensionnelle,8
15806,19,1.0,0,SCRUM,Gestion de projet,8
9277,0,0.0,0,Architecture en bus,Modélisation dimensionnelle,8
9277,1,1.0,0,Clefs,Modélisation dimensionnelle,8
9277,2,1.0,0,Clefs,Modélisation dimensionnelle,8
9277,3,1.0,0,Composants,Architecture,8
9277,4,1.0,0,Composants,Architecture,8
9277,5,1.0,0,Dimension conforme,Modélisation dimensionnelle,8
9277,6,1.0,0,Tableaux de bord,Tableaux de bord,8
9277,7,0.0,0,Dimension dégénérée,Modélisation dimensionnelle,8
9277,8,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
9277,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
9277,10,1.0,0,Évolution des dimensions,Modélisation dimensionnelle,8
9277,11,1.0,0,Table de fait,Modélisation dimensionnelle,8
9277,12,0.0,0,Table de fait,Modélisation dimensionnelle,8
9277,13,0.0,0,Grain,Modélisation dimensionnelle,8
9277,14,0.0,0,Mise à jour,Architecture,8
9277,15,1.0,0,OLAP,Architecture,8
9277,16,0.0,0,OLTP,Architecture,8
9277,17,1.0,0,Redondance,Modélisation dimensionnelle,8
9277,18,0.0,0,Schéma,Modélisation dimensionnelle,8
9277,19,1.0,0,SCRUM,Gestion de projet,8
11576,0,0.0,0,Architecture en bus,Modélisation dimensionnelle,9
11576,1,1.0,0,Clefs,Modélisation dimensionnelle,9
11576,2,1.0,0,Clefs,Modélisation dimensionnelle,9
11576,3,1.0,0,Composants,Architecture,9
11576,4,0.0,0,Composants,Architecture,9
11576,5,1.0,0,Dimension conforme,Modélisation dimensionnelle,9
11576,6,0.0,0,Tableaux de bord,Tableaux de bord,9
11576,7,0.0,0,Dimension dégénérée,Modélisation dimensionnelle,9
11576,8,1.0,0,Évolution des dimensions,Modélisation dimensionnelle,9
11576,9,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,9
11576,10,0.0,0,Évolution des dimensions,Modélisation dimensionnelle,9
11576,11,0.0,0,Table de fait,Modélisation dimensionnelle,9
11576,12,0.0,0,Table de fait,Modélisation dimensionnelle,9
11576,13,1.0,0,Grain,Modélisation dimensionnelle,9
11576,14,0.0,0,Mise à jour,Architecture,9
11576,15,1.0,0,OLAP,Architecture,9
11576,16,0.0,0,OLTP,Architecture,9
11576,17,1.0,0,Redondance,Modélisation dimensionnelle,9
11576,18,0.0,0,Schéma,Modélisation dimensionnelle,9
11576,19,1.0,0,SCRUM,Gestion de projet,9
6852,0,0.0,0,Architecture en bus,Modélisation dimensionnelle,6
6852,1,1.0,0,Clefs,Modélisation dimensionnelle,6
6852,2,1.0,0,Clefs,Modélisation dimensionnelle,6
6852,3,1.0,0,Composants,Architecture,6
6852,4,1.0,0,Composants,Architecture,6
6852,5,1.0,0,Dimension conforme,Modélisation dimensionnelle,6
